round_id,source,timestamp,multiplier,color,band,points,session_id
366,aviator,2026-07-24T15:18:23.341+00:00,2.49,"rgb(145, 62, 248)",base,139.484,1
367,aviator,2026-07-24T15:18:42.449+00:00,1.89,"rgb(52, 180, 255)",low,127.552,1
368,aviator,2026-07-24T15:19:06.689+00:00,2.59,"rgb(145, 62, 248)",base,141.189,1
369,aviator,2026-07-24T15:19:25.797+00:00,1.59,"rgb(52, 180, 255)",low,120.071,1
370,aviator,2026-07-24T15:19:55.026+00:00,4.47,"rgb(145, 62, 248)",mid,164.808,1
371,aviator,2026-07-24T15:20:14.291+00:00,1.53,"rgb(52, 180, 255)",low,118.406,1
372,aviator,2026-07-24T15:20:37.554+00:00,2.61,"rgb(145, 62, 248)",base,141.521,1
373,aviator,2026-07-24T15:21:08.107+00:00,4.85,"rgb(145, 62, 248)",mid,168.34,1
374,aviator,2026-07-24T15:21:26.181+00:00,1.45,"rgb(52, 180, 255)",floor,116.082,1
375,aviator,2026-07-24T15:21:40.396+00:00,1.24,"rgb(52, 180, 255)",floor,109.31,1
376,aviator,2026-07-24T15:21:54.581+00:00,1.11,"rgb(52, 180, 255)",dust,104.517,1
378,aviator,2026-07-24T15:22:12.970+00:00,1.75,"rgb(52, 180, 255)",low,124.221,1
379,aviator,2026-07-24T15:22:39.102+00:00,3.45,"rgb(145, 62, 248)",mid,153.598,1
380,aviator,2026-07-24T15:23:20.600+00:00,11.95,"rgb(192, 23, 180)",ignition,207.368,1
381,aviator,2026-07-24T15:23:39.637+00:00,1.72,"rgb(52, 180, 255)",low,123.472,1
382,aviator,2026-07-24T15:23:54.667+00:00,1.17,"rgb(52, 180, 255)",dust,106.795,1
383,aviator,2026-07-24T15:24:07.823+00:00,1.1,"rgb(52, 180, 255)",dust,104.125,1
384,aviator,2026-07-24T15:24:45.160+00:00,8.18,"rgb(145, 62, 248)",high,190.963,1
385,aviator,2026-07-24T15:25:12.332+00:00,3.53,"rgb(145, 62, 248)",mid,154.59,1
386,aviator,2026-07-24T15:25:37.424+00:00,2.94,"rgb(145, 62, 248)",base,146.674,1
387,aviator,2026-07-24T15:25:50.531+00:00,1.08,"rgb(52, 180, 255)",dust,103.331,1
388,aviator,2026-07-24T15:26:05.638+00:00,1.23,"rgb(52, 180, 255)",floor,108.96,1
390,aviator,2026-07-24T15:26:37.146+00:00,5.36,"rgb(145, 62, 248)",high,172.667,1
391,aviator,2026-07-24T15:27:02.328+00:00,2.24,"rgb(145, 62, 248)",base,134.905,1
392,aviator,2026-07-24T15:27:20.433+00:00,1.69,"rgb(52, 180, 255)",low,122.711,1
393,aviator,2026-07-24T15:27:33.655+00:00,1.0,"rgb(52, 180, 255)",dust,100.0,1
394,aviator,2026-07-24T15:28:28.372+00:00,14.27,"rgb(192, 23, 180)",ignition,215.047,1
395,aviator,2026-07-24T15:28:49.582+00:00,2.03,"rgb(145, 62, 248)",base,130.644,1
396,aviator,2026-07-24T15:29:06.821+00:00,1.6,"rgb(52, 180, 255)",low,120.342,1
397,aviator,2026-07-24T15:29:23.908+00:00,1.55,"rgb(52, 180, 255)",low,118.968,1
398,aviator,2026-07-24T15:29:42.038+00:00,1.71,"rgb(52, 180, 255)",low,123.22,1
399,aviator,2026-07-24T15:29:54.061+00:00,1.0,"rgb(52, 180, 255)",dust,100.0,1
400,aviator,2026-07-24T15:30:10.439+00:00,1.52,"rgb(52, 180, 255)",low,118.122,1
402,aviator,2026-07-24T15:30:24.453+00:00,1.31,"rgb(52, 180, 255)",floor,111.687,1
403,aviator,2026-07-24T15:30:37.524+00:00,1.1,"rgb(52, 180, 255)",dust,104.125,1
